Asset Name,Asset Id,Asset Name,Platform Family,Platform Family Category,Platform Family Solution,Asset Short Description,Asset Long Description,Asset Maturity,Deployment Effort,Is it Demo ready?,Which Cloud is it on?,Asset Tags,Asset Quick Start Guide,Repo Url,Demo Url,Deploy Guide Url / Attachment,Asset Owner,Asset Status,When Created,Last Updated,Asset Attachments,Asset Prerequisites List,Asset Dependencies List,Asset Architecture Steps,Asset Architecture Steps Color,Stats Deployment Count,Stats Demo Count,Stats Project Count,Stats Satisfaction Score,Stats Last Refreshed At,Owner Details,Video File
 ,"e.g. ATL-001, FRG-002 - This should anyway be autogenerated",Display name - Accelerator Name,"atlas, forge, relay, sentinel, nexus - Platform Family it belongs to (atlas, forge, relay, sentinel, nexus) - lookup","e.g. Data Retrieval, Quality Engineering - e.g. Data Retrieval, Quality Engineering",Signature solution this asset supports - Signature Solution group within the Platform Family,"Card-level summary, ~120 chars - Accelerator 120 characters description","Full about section, supports paragraphs - Detailed Description of the accelerator","experimental, validated, battle-tested","low, medium, high", ,"aws, gcp, azure","Free-form searchable tags - Rag, Embeddings, Knowledge",Multi-line shell commands / code,GitHub or internal repo link - We'll make this Request and Workflow based,nullable - Hosted website link,,Asset owner,"active, deprecated, draft", , ,"Any attachments to download (ex: Prompt libraries, etc)",e.g. Python 3.11+,Ingestion Pipeline  --> Chunking 7 Embedding --> Hybrid Retrieval --> Eval Framework,"blue, purple, orange, green",Left-to-right flow order, , , ,0–100 / NA, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSmith - Tableau to Looker Migration,ATL-001,DataSmith - Tableau to Looker Migration,ATLAS,BI Migration,Migraton Factory,"Discovery, Migration and Validation of Tableau dashboards to Looker","Discovery - Lineage analysis, schema analysis, cluster analysis",Experimental,Low,Yes,"Azure currently, cloud agnostic","Tableau, Looker, DataSmith, Migration, Agentic AI",GUI based,Request for Repo,datasmith.infovision.io,Hosted App (User Guide In Progress),Manikandan Loganathan,active,5/8/2026,5/8/2026,NA,Hosted service,Need Tableau as .twbx files,TBD,TBD,0,2,0,NA,46150,Manikandan.Loganathan@infovision.com,DataSmith.mp4
DataSmith - Synthetic Data Generator,ATL-002,DataSmith - Synthetic Data Generator,ATLAS,Data Generation,Master Data & Domain Context,Synthetic Data Generator,Generates tens to millions of rows synthetic data statistically modeled on given input dataset,Validated,Low,Yes,,"Data Generator, Data Generation, DataSmith",GUI based,Request for Repo,Not Available Yet,NA,Manikandan Loganathan,active,5/8/2026,5/8/2026,NA,Hosted service,None,TBD,TBD,0,4,1,50,46150,Manikandan.Loganathan@infovision.com,SyntheticDataGenerator.mp4
Sprinter,FRG-001,Sprinter,FORGE,SDLC Automation & Acceleration,Engineering Productivity Office,"AI-powered SDLC bot that expands user stories, generates tasks, test cases, code snippets, and release notes via a Kanban board.","Sprinter is a web application integrated with GPT-3.5-turbo that streamlines the entire software development lifecycle. It automates repetitive SDLC tasks including user story expansion with personas, goals and acceptance criteria, task and subtask generation, code snippet generation across multiple languages, test case creation, test code generation, release notes compilation, and weekly/monthly status reports.

The interface mirrors a JIRA-style Kanban board with four columns: To-Do, In Progress, QA, and Done — each unlocking relevant AI-powered actions at that stage. Project Managers, Developers, and QA Engineers each benefit from role-specific automation that reduces manual effort, improves consistency, and accelerates delivery timelines.

Key challenges solved: manual test case/story creation is error-prone and slow; no tooling existed to leverage historical data for risk prediction and story point estimation. Sprinter addresses both by combining LLM intelligence with structured project context.",validated,Medium,Yes,Azure,"SDLC, Agile, User Stories, Test Cases, Code Generation, Kanban, Release Notes, GPT, JIRA",GUI based,Request for Repo,Not Available Yet,NA,Noumika Balaji,active,2/1/2023,5/12/2026,NA,"Python 3.x, Node.js, React",WIP,User Story Input --> LLM Prompt Construction --> GPT-3.5-turbo --> Task / Code / Test Case Generation --> Kanban Board Display --> Release Notes / Reports,"Blue, Violet, Orange, Green and repeat",0,8,0,NA,5/12/2026,Noumika.Balaji@infovision.com,Sprinter.mp4
Code Migration Frameworks,FRG-002,Code Migration Frameworks,FORGE,"Code Modernization, Legacy Migration",Modernization Factory,AI-assisted COBOL-to-Java and .NET-to-Node.js code migration with real-time developer Q&A and context-aware conversion.,"Code Migration Frameworks is a multi-language modernization accelerator that uses GitHub Copilot and Gemini code assist plugins to convert legacy codebases to modern tech stacks. Currently proven for COBOL + C (with Python Flask API) to Java Springboot, and .NET C# to Node.js migrations.

The solution analyzes the source project’s full file structure and codebase context, then assists developers through automated code conversion while answering real-time contextual queries. Additional capabilities include logging, test case generation, and SQL injection anomaly detection baked into the converted output.

Key challenges solved: manual code migration from legacy systems takes months, creates bottlenecks, and requires senior developer expertise for navigation. This accelerator reduces conversion time dramatically while keeping developers in the loop through a conversational AI interface.

Architecture: Legacy Source (COBOL/C/.NET) --> GitHub Copilot / Gemini Plugin (VSCode) --> Context Discovery --> Automated Conversion --> Java Springboot / Node.js Output --> QA & Test Case Generation.",validated,High,Yes,"Azure, GCP","COBOL, Java, Springboot, Code Migration, Legacy Modernization, .NET, Node.js, GitHub Copilot, Gemini",Console / Gui based,Request for Repo,Not Available Yet,NA,Blesson Roy,active,8/10/2023,5/1/2026,NA,"Python 3.x, Java 17+, Node.js 18+, COBOL runtime",WIP,Source Code Ingestion --> Context Discovery (File Structure Analysis) --> AI-Assisted Conversion (Copilot / Gemini) --> Output Generation (Java / Node.js) --> Test Case Generation --> QA Validation,"Blue, Violet, Orange, Green and repeat",0,0,0,NA,5/1/2026,Blesson.Roy@infovision.com,Not available
AI Code Reviewer,FRG-003,ADLC Unified Framework,FORGE,SDLC Automation & Acceleration,Release Acceleration,"Webhook-triggered AI code reviewer that delivers line-by-line analysis, best practice feedback, and Slack notifications on every PR.","The ADLC Unified Framework (Senior Dev GPT) is a webhook-driven SDLC optimization bot that automates code review on every pull or merge request. When a developer submits a PR in GitLab, the bot is triggered automatically via webhook, receives the committed code, and acts as a senior developer performing detailed line-by-line analysis.

Feedback is delivered through a Slack app called Senior Dev in a conversational format, providing best practice recommendations, security vulnerability detection, and performance optimization suggestions in real time. The entire loop — from PR submission to feedback delivery — completes in minutes rather than hours.

Key challenges solved: lead developer bandwidth is the primary bottleneck in high-velocity agile teams. Code reviews get rushed or skipped entirely, introducing bugs and technical debt. This accelerator removes the human bottleneck by providing always-on, consistent, high-quality automated review.

Integrates with: GitLab, GitHub, Bitbucket (via webhooks), Slack (notifications), GitLab CI/CD pipeline.",validated,Medium,Yes,Azure,"Code Review, Webhook, GitLab, Slack, CI/CD, GPT-4, SDLC, Automated Review, Pull Request",Integrated with Slack and Jira,Request for Repo,Not Available Yet,NA,Pratyoosh Patel,active,3/1/2026,4/1/2026,NA,"Python 3.x, GitLab CI/CD, Slack SDK",WIP,PR / MR Submitted --> Webhook Trigger (GitLab) --> Code Ingestion --> GPT-4 Line-by-Line Analysis --> Best Practice Scoring --> Slack Notification (Senior Dev) --> Developer Iterates,"Blue, Violet, Orange, Green and repeat",0,0,0,NA,4/1/2026,Pratyoosh.Patel@infovision.com,AutomatedCodeReviews.mp4
Multiagent Orchestration Engine,RLY-001,Multiagent Call Center Automation,RELAY,"Multi-Agent Orchestration, Call Center Automation",Customer Care Studio,"LangGraph multi-agent system with 6 specialized agents automating sentiment analysis, ticketing, recommendations, and resolution.","The Multiagent Call Center Automation System is an AI-driven solution built on a LangGraph-based multi-agent framework that optimizes call center operations through specialized autonomous agents. Six agents work in concert: Sentiment Analysis (real-time tone detection), Customer Profile Update (CRM sync), Call Avoidance (proactive deflection), Support Ticket Management (JIRA integration), Recommendation (personalized suggestions), and Resolution (case closure).

Agents integrate seamlessly with PostgreSQL for data management, JIRA for ticket lifecycle, and email platforms for outbound communication. The LangGraph framework enables agents to operate both autonomously and collaboratively via a shared state memory object — allowing contextual handoffs between agents without data loss.

Key challenges solved: traditional call center workflows are siloed, requiring manual handoffs between systems. This system distributes responsibility across specialized agents, eliminating handoff delays, reducing average handle time, and improving first-call resolution rates. Latency is managed through careful agent architecture and state design.

Owner: Gokulram | Repo: https://github.com/by-Gokulram/multiagent_callcenter_automation.git",validated,High,Yes,GCP,"Multi-Agent, LangGraph, Call Center, Sentiment Analysis, JIRA, Automation, Agentic AI, Orchestration, Gemini",Embedded into IVR system ,https://github.com/by-Gokulram/multiagent_callcenter_automation.git,Not Available Yet,NA,Noumika Balaji,active,4/1/2025,4/1/2026,NA,"Python 3.x, LangGraph, PostgreSQL",WIP,Incoming Call / Trigger --> Sentiment Analysis Agent --> Customer Profile Agent --> Call Avoidance Agent --> Ticket Management Agent (JIRA) --> Recommendation Agent --> Resolution Agent --> Post-Call Summary,"Blue, Violet, Orange, Green and repeat",1,5,1,75,4/1/2026,Noumika.Balaji@infovision.com,MultiagentDemo.mp4
Healthcare Bot,RLY-002,Healthcare Bot,RELAY,"Domain Agent, Knowledge Retrieval",Enterprise Knowledge Assistant,"Dual-persona RAG chatbot for hospital environments serving both patients and staff with role-tailored, policy-aware responses.","The Healthcare Bot is a dual-persona RAG-powered conversational agent designed for hospital environments. It serves two distinct user groups — Patients and Staff — each with a dedicated portal pathway and persona-customized responses drawn from role-specific data sources.

For patients, the bot handles medical history queries, appointment details, medication reminders, and general health inquiries. For staff, it provides instant access to HR policies, leave balances, compliance documentation, and operational guidelines. Semantic search powered by Chroma vector store and Redis caching (40% response time reduction) ensures fast, accurate retrieval even from large document corpora.

Key challenges solved: employees and patients both face friction accessing the right information from the right source. Manual HR intervention for routine queries is costly and inconsistent. The Healthcare Bot eliminates this by embedding organizational knowledge directly into a conversational interface, with 85% query accuracy documented on complex semantic queries.

Cross-industry note: the dual-persona architecture is domain-agnostic — the same pattern applies to Finance (advisor + client), Retail (staff + customer), or any organization with two distinct user classes accessing different knowledge bases.",validated,Medium,Yes,"Azure, GCP","RAG, Healthcare, Dual Persona, Chroma, Redis, Embeddings, Knowledge Retrieval, Gemini, FastAPI",Gui Based,Request for Repo,Not Available Yet,NA,Abhiram Kalidindi,active,4/1/2025,4/1/2026,NA,"Python 3.x, FastAPI, Redis, Chroma",WIP,User Query (Patient / Staff Portal) --> Persona Selection --> Document Retrieval (Chroma Vector Store) --> Redis Cache Check --> Gemini 1.5 Flash LLM --> Role-Tailored Response --> Feedback Logging,"Blue, Violet, Orange, Green and repeat",1,4,1,50,4/1/2026,Abhiram.Kalidindi@infovision.com,HealthcareBot.mp4
Contextual Intelligence – Speech Diarization,RLY-003,Contextual Intelligence – Speech Diarization,RELAY,"Conversational AI, Real-Time Intelligence",Customer Care Studio,Real-time speech diarization that structures live customer conversations and serves contextual product data and trade-in options instantly.,"The Contextual Intelligence Speech Diarization System is a real-time conversational intelligence accelerator built for high-engagement customer interactions (retail, telecom). It listens to live audio between a CSR and customer, converts speech to text, attributes each utterance to the correct speaker (90% accuracy with clean audio), and extracts structured insights categorized by products, plans, and information requests — all with timestamps.

Simultaneously, the system performs dynamic web scraping via Selenium and LangChain to fetch real-time product availability, pricing, color options, and trade-in values from external sources. Results are cached in Redis (40% latency improvement) and surfaced on an interactive iPad interface showing insight bubbles and a cart integration for seamless purchase completion.

Key challenges solved: sales reps lose conversational flow while manually looking up product details, directly impacting conversion rates. This accelerator keeps reps present in the conversation while the AI handles real-time lookup, structuring, and recommendations in the background.

Classification: Accelerator (100% reusable) | Owner: Veera | Team: Veerasekhar, Abhiram, Blesson, Padma Priya, Satish, Rahul",battle-tested,High,Yes,"GCP, Azure","Speech Diarization, Real-Time, Conversational AI, Web Scraping, Redis, LangChain, Gemini, Speaker Attribution, Cart Integration",Mobile device based Gui,Request for Repo,Not Available Yet,NA,Pratyoosh Patel,active,4/1/2025,5/1/2026,NA,"Python 3.x, React.js, FastAPI, Redis, LangChain",WIP,Live Audio Input --> Speech-to-Text (Gemini Flash) --> Speaker Attribution (Diarization) --> Insight Extraction & Categorization --> Dynamic Product Retrieval (Selenium / Web Scraping) --> Redis Cache --> Interactive UI Display (iPad) --> Cart Integration,"Blue, Violet, Orange, Green and repeat",1,7,1,75,5/1/2026,Pratyoosh.Patel@infovision.com,SpeechDiarization.mp4
